feature,feature_named,importance
pose_frames,pose_frames,0.0827949233677605
joint_05_range,left_shoulder_range,0.016141689158262
joint_13_speed_mean,left_knee_speed_mean,0.0160441182425839
joint_13_speed_max,left_knee_speed_max,0.0157259585846385
joint_00_speed_mean,nose_speed_mean,0.0156956710098867
joint_13_speed_std,left_knee_speed_std,0.0152312546826918
joint_04_speed_mean,right_ear_speed_mean,0.0151592155641433
joint_01_speed_mean,left_eye_speed_mean,0.0151482023910136
joint_06_range,right_shoulder_range,0.0149967697353568
joint_00_speed_std,nose_speed_std,0.0148266167672473
pose_movement_max,pose_movement_max,0.0146642345178086
joint_04_speed_std,right_ear_speed_std,0.0144565848343603
joint_02_speed_std,right_eye_speed_std,0.0143943598502334
joint_16_speed_std,right_ankle_speed_std,0.0142729198054319
joint_02_range,right_eye_range,0.0141148183347306
joint_00_speed_max,nose_speed_max,0.0140656468253703
joint_15_speed_max,left_ankle_speed_max,0.0138781825782883
joint_01_speed_std,left_eye_speed_std,0.0138686055163584
joint_12_speed_max,right_hip_speed_max,0.013858188684424
joint_15_speed_std,left_ankle_speed_std,0.0137121436502732
joint_05_speed_std,left_shoulder_speed_std,0.0136919312892813
pose_range_std,pose_range_std,0.0131633507466676
joint_03_range,left_ear_range,0.0129993074823418
joint_16_speed_mean,right_ankle_speed_mean,0.0129811879821502
joint_15_range,left_ankle_range,0.0126344956484957
joint_02_speed_mean,right_eye_speed_mean,0.0126297797735311
joint_04_range,right_ear_range,0.0125735114706229
joint_13_range,left_knee_range,0.0124761620259648
joint_06_speed_std,right_shoulder_speed_std,0.0124670897116797
joint_07_speed_std,left_elbow_speed_std,0.0124492057351098
joint_01_range,left_eye_range,0.0123781317292439
joint_06_speed_mean,right_shoulder_speed_mean,0.0123627465435195
joint_16_speed_max,right_ankle_speed_max,0.0123479671671131
joint_01_speed_max,left_eye_speed_max,0.0123131320370155
joint_05_speed_mean,left_shoulder_speed_mean,0.0121710005892595
joint_02_speed_max,right_eye_speed_max,0.0121192216857424
joint_07_speed_mean,left_elbow_speed_mean,0.0118920690328264
joint_04_speed_max,right_ear_speed_max,0.0118501276649467
joint_03_speed_mean,left_ear_speed_mean,0.0116822069683414
joint_14_range,right_knee_range,0.0116637765738701
joint_07_range,left_elbow_range,0.0115819614469442
joint_12_range,right_hip_range,0.0114993361378118
joint_05_speed_max,left_shoulder_speed_max,0.0114600205265267
joint_11_range,left_hip_range,0.0113900507877902
joint_00_range,nose_range,0.0112296966668335
joint_12_speed_std,right_hip_speed_std,0.0111270154368741
joint_16_range,right_ankle_range,0.0110627128869899
joint_08_speed_max,right_elbow_speed_max,0.010800902082782
joint_14_speed_max,right_knee_speed_max,0.010745196815637
joint_09_speed_max,left_wrist_speed_max,0.0106611063209435
joint_06_speed_max,right_shoulder_speed_max,0.0105237382855602
joint_09_speed_std,left_wrist_speed_std,0.0104838284194248
joint_08_speed_std,right_elbow_speed_std,0.0104517417653808
joint_03_speed_std,left_ear_speed_std,0.0103987039872772
joint_08_range,right_elbow_range,0.0103532802850447
joint_15_speed_mean,left_ankle_speed_mean,0.010340295102935
joint_10_range,right_wrist_range,0.0103143076810884
joint_09_range,left_wrist_range,0.0102847166307824
joint_10_speed_max,right_wrist_speed_max,0.0102839603072656
joint_03_speed_max,left_ear_speed_max,0.0101992447830822
joint_10_speed_std,right_wrist_speed_std,0.0101694436659959
pose_stability_std,pose_stability_std,0.0101660146864716
joint_07_speed_max,left_elbow_speed_max,0.0101042690835951
pose_range_max,pose_range_max,0.010082757772237
pose_range_mean,pose_range_mean,0.0100498885989322
joint_14_speed_std,right_knee_speed_std,0.0100463217475349
joint_11_speed_max,left_hip_speed_max,0.009882352994625
joint_12_speed_mean,right_hip_speed_mean,0.0098071357825329
pose_movement_std,pose_movement_std,0.0097946661761348
joint_11_speed_std,left_hip_speed_std,0.0097434400770199
joint_08_speed_mean,right_elbow_speed_mean,0.0096339874616905
pose_stability_proxy,pose_stability_proxy,0.009613296975948
pose_stability_max,pose_stability_max,0.0095239486096546
joint_09_speed_mean,left_wrist_speed_mean,0.0093129545847467
joint_14_speed_mean,right_knee_speed_mean,0.0092237607963183
joint_10_speed_mean,right_wrist_speed_mean,0.0090223090630851
pose_movement_mean,pose_movement_mean,0.0084804040001376
joint_11_speed_mean,left_hip_speed_mean,0.0082547256077754
pose_joint_count,pose_joint_count,0.0
