feature,importance
sw_l_acc_x_mean,0.09693287569703311
sw_r_acc_x_mean,0.07765844832297557
sw_r_acc_z_mean,0.0645980912441884
sw_l_acc_y_mean,0.06371624963005773
sw_l_acc_z_mean,0.06351511442352804
sw_r_acc_y_mean,0.0533100036033223
sw_r_acc_x_std,0.05267227923779951
sw_l_acc_x_std,0.04773477412698461
sw_l_acc_mag_std,0.043431960431015125
sw_r_acc_mag_std,0.037387089192610766
sw_l_acc_z_std,0.03646739722242337
sw_r_gyr_y_std,0.03122821647510147
sw_l_gyr_y_std,0.031226445530134286
sw_l_gyr_mag_std,0.026436637981729544
sw_r_gyr_mag_std,0.022499314451591368
sw_l_gyr_mag_mean,0.020962489579155273
sw_l_acc_mag_mean,0.020930209322024232
sw_r_gyr_mag_mean,0.019125882490644237
sw_r_acc_y_std,0.01826091437094504
sw_r_acc_mag_max,0.014656003694539375
sw_r_acc_mag_mean,0.014400936593771863
sw_r_gyr_z_std,0.014386317041912376
sw_r_acc_mag_min,0.014191133492053443
sw_l_gyr_z_std,0.014152765029528254
sw_l_acc_y_std,0.01259321108624247
sw_l_acc_mag_max,0.012378100916421938
sw_r_acc_z_std,0.012219364856254336
sw_l_gyr_mag_max,0.009407670521416263
sw_r_gyr_mag_max,0.008934424620344389
sw_l_acc_mag_min,0.008679334887259367
sw_l_gyr_x_std,0.007060211626878843
sw_r_gyr_x_std,0.004905406366714494
sw_r_gyr_y_mean,0.004643019392191532
sw_r_gyr_z_mean,0.004513353148988472
sw_l_gyr_z_mean,0.003948137988470688
sw_l_gyr_y_mean,0.0038791015566837627
sw_r_gyr_mag_min,0.0026242178711741136
sw_l_gyr_mag_min,0.0018614700741784091
sw_r_gyr_x_mean,0.0013565200051705289
sw_l_gyr_x_mean,0.0011149058965412469
